일시,가시리풍력,김녕풍력,동복풍력,신창풍력,행원풍력,풍력전체
2022-11-19,15323.04,7725.96,165340.8,1507.5,96709.92,286607.22
2022-11-20,13040.64,4395.06,93168,2920.32,90456.78,203980.8
2022-11-21,6393.6,252.72,2851.2,1887.3,4096.98,15481.8
2022-11-22,13512.96,3092.04,79344,5154.12,48957.36,150060.48
2022-11-23,104369.76,6967.8,132019.2,18275.94,90236.22,351868.92
2022-11-24,99266.4,1952.1,43516.8,9228.06,50310.18,204273.54
2022-11-25,7932.96,444.06,19814.4,2767.14,5682.12,36640.68
2022-11-26,83331.36,2697.66,51494.4,11127.78,41619.66,190270.86
2022-11-27,25344,850.14,42595.2,4627.62,11195.22,84612.18
2022-11-28,109841.76,3201.84,245491.2,13962.24,72920.46,445417.5
2022-11-29,139514.4,5172.12,416419.2,11472.3,116071.26,688649.28
2022-11-30,151695.36,0,580579.2,1677.96,146060.58,880013.1
2022-12-01,51348.96,541.8,127094.4,6754.68,49760.4,235500.24
2022-12-02,13475.52,834.84,16416,5113.8,8527.81,44367.97
2022-12-03,20383.2,816.3,6681.6,5211.18,10396.688,43488.968
2022-12-04,226183.68,4272.12,129657.6,21405.78,60069.843,441589.023
2022-12-05,213857.28,8091,312739.2,21817.62,109614.241,666119.341
2022-12-06,91133.28,8041.86,284342.4,14946.66,94056.171,492520.371
2022-12-07,64074.24,6114.78,154598.4,9048.78,68308.369,302144.569
2022-12-08,58596.48,521.46,4694.4,6450.3,10895.027,81157.667
2022-12-09,22762.08,220.32,115.2,4945.68,1598.981,29642.261
2022-12-10,82800,981.9,19785.6,9176.58,13619.406,126363.486
2022-12-11,97909.92,8157.06,157248,14996.7,63284.505,341596.185
2022-12-12,142924.32,3361.5,135331.2,11156.04,50626.401,343399.461
2022-12-13,110351.52,3275.28,507398.4,19124.46,140826.948,780976.608
2022-12-14,96739.2,2000.52,357177.6,18834.3,110878.862,585630.482
2022-12-15,4314.24,210.24,9763.2,1222.2,1814.79,17324.67
2022-12-16,184734.72,1447.2,148089.6,19505.88,70461.201,424238.601
2022-12-17,125174.88,3906.72,451584,18533.52,136055.047,735254.167
2022-12-18,84817.44,17.46,533059.2,11993.76,133511.39,763399.25
2022-12-19,8665.92,2879.64,160732.8,13244.58,54125.596,239648.536
2022-12-20,5050.08,527.58,30499.2,1717.02,4241.181,42035.061
2022-12-21,43297.92,4321.8,170409.6,14003.28,52681.379,284713.979
2022-12-22,112524.48,1562.58,560736,23106.96,143485.167,841415.187
2022-12-23,116912.16,21.06,356227.2,9947.34,37438.748,520546.508
2022-12-24,150176.16,3594.78,397612.8,15145.38,71127.21,637656.33
2022-12-25,168004.8,9558.18,337939.2,19171.62,115678.247,650352.047
2022-12-26,103717.44,8006.58,197971.2,13921.02,84476.089,408092.329
2022-12-27,166082.4,9006.48,221414.4,14657.04,96480.622,507640.942
2022-12-28,157855.68,7432.2,191203.2,14562,94935.093,465988.173
2022-12-29,61175.52,6262.02,162316.8,14533.2,81609.495,325897.035
2022-12-30,14986.08,4761.36,139046.4,11412.9,58752.722,228959.462
2022-12-31,63270.72,6750.18,196387.2,12797.46,81099.232,360304.792
2023-01-01,80125.92,8472.78,220521.6,15136.92,99192.934,423450.154
2023-01-02,165487.68,10303.2,287193.6,12013.2,125506.896,600504.576
2023-01-03,108518.4,11379.78,342921.6,6993.18,104463.776,574276.736
2023-01-04,86772.96,3314.16,79257.6,4096.08,24280.202,197721.002
2023-01-05,38021.76,713.7,16128,306.18,2816.903,57986.543
2023-01-06,26032.32,1186.2,49420.8,968.04,4739.713,82347.073
2023-01-07,71652.96,3111.48,388108.8,4081.68,62788.182,529743.102
2023-01-08,30612.96,260.1,8784,251.64,760.836,40669.536
2023-01-09,89161.92,5415.48,150163.2,6607.98,28290.442,279639.022
2023-01-10,69609.6,1755.54,38476.8,165.6,11547.626,121555.166
2023-01-11,155.52,192.24,10684.8,1627.2,1.8,12661.56
2023-01-12,44894.88,1749.42,128016,8448.66,8263.779,191372.739
2023-01-13,104922.72,2138.94,217584,7603.2,30599.689,362848.549
2023-01-14,203542.56,4336.74,100742.4,19414.44,25417.794,353453.934
2023-01-15,221374.08,6231.96,497030.4,20448.72,71534.781,816619.941
2023-01-16,171954.72,3433.86,540748.8,25074.54,76359.448,817571.368
2023-01-17,146537.28,9494.46,278179.2,16319.52,52752.874,503283.334
2023-01-18,16283.52,4045.68,118828.8,8164.26,23350.647,170672.907
2023-01-19,9328.32,2745,87321.6,6038.64,13169.517,118603.077
2023-01-20,99626.4,7515,297907.2,17959.5,43543.747,466551.847
2023-01-21,147386.88,2502,67363.2,6635.16,13721.92,237609.16
2023-01-22,19527.84,5376.24,138643.2,8266.14,21694.069,193507.489
2023-01-23,130055.04,4025.7,219456,15121.08,25764.909,394422.729
