기간,원자력,석탄_유연탄,석탄_무연탄,석탄_계,유류,LNG,양수,신재생_연료전지,신재생_석탄가스화,신재생_태양,신재생_풍력,신재생_수력,신재생_해양,신재생_바이오,신재생_계,기타,합계
2022-03-23,59.28093311,144.8274857,0.0,144.9610086,285.5896829,218.4281438,226.6847562,191.8269001,191.7829162,193.7902653,197.4876708,201.0173844,194.0881218,177.3709594,189.4453088,192.1175125,150.0786851
2022-03-24,59.28093311,144.8274857,0.0,144.9610086,285.5896829,218.4281438,226.6847562,191.8269001,191.7829162,193.7902653,197.4876708,201.0173844,194.0881218,177.3709594,189.4453088,192.1175125,150.0786851
2022-03-25,59.28093311,144.8274857,0.0,144.9610086,285.5896829,218.4281438,226.6847562,191.8269001,191.7829162,193.7902653,197.4876708,201.0173844,194.0881218,177.3709594,189.4453088,192.1175125,150.0786851
2022-03-26,59.28093311,144.8274857,0.0,144.9610086,285.5896829,218.4281438,226.6847562,191.8269001,191.7829162,193.7902653,197.4876708,201.0173844,194.0881218,177.3709594,189.4453088,192.1175125,150.0786851
2022-03-27,59.28093311,144.8274857,0.0,144.9610086,285.5896829,218.4281438,226.6847562,191.8269001,191.7829162,193.7902653,197.4876708,201.0173844,194.0881218,177.3709594,189.4453088,192.1175125,150.0786851
2022-03-28,59.28093311,144.8274857,0.0,144.9610086,285.5896829,218.4281438,226.6847562,191.8269001,191.7829162,193.7902653,197.4876708,201.0173844,194.0881218,177.3709594,189.4453088,192.1175125,150.0786851
2022-03-29,59.28093311,144.8274857,0.0,144.9610086,285.5896829,218.4281438,226.6847562,191.8269001,191.7829162,193.7902653,197.4876708,201.0173844,194.0881218,177.3709594,189.4453088,192.1175125,150.0786851
2022-03-30,59.28093311,144.8274857,0.0,144.9610086,285.5896829,218.4281438,226.6847562,191.8269001,191.7829162,193.7902653,197.4876708,201.0173844,194.0881218,177.3709594,189.4453088,192.1175125,150.0786851
2022-03-31,59.28093311,144.8274857,0.0,144.9610086,285.5896829,218.4281438,226.6847562,191.8269001,191.7829162,193.7902653,197.4876708,201.0173844,194.0881218,177.3709594,189.4453088,192.1175125,150.0786851
2022-04-01,53.33556265,162.1122009,210.7611288,162.9188975,308.0638848,229.6100071,238.3597373,200.5494176,201.0388581,197.431906,206.1552343,209.0807963,202.5663721,232.5768493,208.6787317,206.9422941,153.2377963
2022-04-02,53.33556265,162.1122009,210.7611288,162.9188975,308.0638848,229.6100071,238.3597373,200.5494176,201.0388581,197.431906,206.1552343,209.0807963,202.5663721,232.5768493,208.6787317,206.9422941,153.2377963
2022-04-03,53.33556265,162.1122009,210.7611288,162.9188975,308.0638848,229.6100071,238.3597373,200.5494176,201.0388581,197.431906,206.1552343,209.0807963,202.5663721,232.5768493,208.6787317,206.9422941,153.2377963
2022-04-04,53.33556265,162.1122009,210.7611288,162.9188975,308.0638848,229.6100071,238.3597373,200.5494176,201.0388581,197.431906,206.1552343,209.0807963,202.5663721,232.5768493,208.6787317,206.9422941,153.2377963
2022-04-05,53.33556265,162.1122009,210.7611288,162.9188975,308.0638848,229.6100071,238.3597373,200.5494176,201.0388581,197.431906,206.1552343,209.0807963,202.5663721,232.5768493,208.6787317,206.9422941,153.2377963
2022-04-06,53.33556265,162.1122009,210.7611288,162.9188975,308.0638848,229.6100071,238.3597373,200.5494176,201.0388581,197.431906,206.1552343,209.0807963,202.5663721,232.5768493,208.6787317,206.9422941,153.2377963
2022-04-07,53.33556265,162.1122009,210.7611288,162.9188975,308.0638848,229.6100071,238.3597373,200.5494176,201.0388581,197.431906,206.1552343,209.0807963,202.5663721,232.5768493,208.6787317,206.9422941,153.2377963
2022-04-08,53.33556265,162.1122009,210.7611288,162.9188975,308.0638848,229.6100071,238.3597373,200.5494176,201.0388581,197.431906,206.1552343,209.0807963,202.5663721,232.5768493,208.6787317,206.9422941,153.2377963
2022-04-09,53.33556265,162.1122009,210.7611288,162.9188975,308.0638848,229.6100071,238.3597373,200.5494176,201.0388581,197.431906,206.1552343,209.0807963,202.5663721,232.5768493,208.6787317,206.9422941,153.2377963
2022-04-10,53.33556265,162.1122009,210.7611288,162.9188975,308.0638848,229.6100071,238.3597373,200.5494176,201.0388581,197.431906,206.1552343,209.0807963,202.5663721,232.5768493,208.6787317,206.9422941,153.2377963
2022-04-11,53.33556265,162.1122009,210.7611288,162.9188975,308.0638848,229.6100071,238.3597373,200.5494176,201.0388581,197.431906,206.1552343,209.0807963,202.5663721,232.5768493,208.6787317,206.9422941,153.2377963
2022-04-12,53.33556265,162.1122009,210.7611288,162.9188975,308.0638848,229.6100071,238.3597373,200.5494176,201.0388581,197.431906,206.1552343,209.0807963,202.5663721,232.5768493,208.6787317,206.9422941,153.2377963
2022-04-13,53.33556265,162.1122009,210.7611288,162.9188975,308.0638848,229.6100071,238.3597373,200.5494176,201.0388581,197.431906,206.1552343,209.0807963,202.5663721,232.5768493,208.6787317,206.9422941,153.2377963
2022-04-14,53.33556265,162.1122009,210.7611288,162.9188975,308.0638848,229.6100071,238.3597373,200.5494176,201.0388581,197.431906,206.1552343,209.0807963,202.5663721,232.5768493,208.6787317,206.9422941,153.2377963
2022-04-15,53.33556265,162.1122009,210.7611288,162.9188975,308.0638848,229.6100071,238.3597373,200.5494176,201.0388581,197.431906,206.1552343,209.0807963,202.5663721,232.5768493,208.6787317,206.9422941,153.2377963
2022-04-16,53.33556265,162.1122009,210.7611288,162.9188975,308.0638848,229.6100071,238.3597373,200.5494176,201.0388581,197.431906,206.1552343,209.0807963,202.5663721,232.5768493,208.6787317,206.9422941,153.2377963
2022-04-17,53.33556265,162.1122009,210.7611288,162.9188975,308.0638848,229.6100071,238.3597373,200.5494176,201.0388581,197.431906,206.1552343,209.0807963,202.5663721,232.5768493,208.6787317,206.9422941,153.2377963
2022-04-18,53.33556265,162.1122009,210.7611288,162.9188975,308.0638848,229.6100071,238.3597373,200.5494176,201.0388581,197.431906,206.1552343,209.0807963,202.5663721,232.5768493,208.6787317,206.9422941,153.2377963
2022-04-19,53.33556265,162.1122009,210.7611288,162.9188975,308.0638848,229.6100071,238.3597373,200.5494176,201.0388581,197.431906,206.1552343,209.0807963,202.5663721,232.5768493,208.6787317,206.9422941,153.2377963
2022-04-20,53.33556265,162.1122009,210.7611288,162.9188975,308.0638848,229.6100071,238.3597373,200.5494176,201.0388581,197.431906,206.1552343,209.0807963,202.5663721,232.5768493,208.6787317,206.9422941,153.2377963
2022-04-21,53.33556265,162.1122009,210.7611288,162.9188975,308.0638848,229.6100071,238.3597373,200.5494176,201.0388581,197.431906,206.1552343,209.0807963,202.5663721,232.5768493,208.6787317,206.9422941,153.2377963
2022-04-22,53.33556265,162.1122009,210.7611288,162.9188975,308.0638848,229.6100071,238.3597373,200.5494176,201.0388581,197.431906,206.1552343,209.0807963,202.5663721,232.5768493,208.6787317,206.9422941,153.2377963
