top_word,count,label,confidence
시엠립,1,neutral,"{'negative': 0.05747886, 'positive': 0.39367726, 'neutral': 99.54884}"
아시아,3,negative,"{'negative': 76.366974, 'positive': 4.9296465, 'neutral': 18.703382}"
아시아,3,neutral,"{'negative': 0.06856149, 'positive': 0.08652933, 'neutral': 99.84491}"
트램,2,neutral,"{'negative': 0.08760415, 'positive': 0.3905513, 'neutral': 99.52184}"
기지,1,neutral,"{'negative': 0.14416906, 'positive': 2.1369264, 'neutral': 97.7189}"
걸음,1,neutral,"{'negative': 0.05236046, 'positive': 0.47775716, 'neutral': 99.46988}"
문턱,1,positive,"{'negative': 0.011370418, 'positive': 99.907036, 'neutral': 0.08159584}"
반대,1,positive,"{'negative': 0.029058058, 'positive': 99.86864, 'neutral': 0.10230105}"
속도,3,neutral,"{'negative': 0.02191538, 'positive': 0.10021089, 'neutral': 99.87788}"
속도,3,neutral,"{'negative': 0.024998087, 'positive': 0.15399943, 'neutral': 99.821}"
굳이,1,neutral,"{'negative': 0.20784242, 'positive': 0.057320848, 'neutral': 99.73484}"
봉툿값,1,negative,"{'negative': 85.70235, 'positive': 0.012231481, 'neutral': 14.28542}"
다행,1,positive,"{'negative': 49.898754, 'positive': 49.939045, 'neutral': 0.16220254}"
광철,1,neutral,"{'negative': 35.994568, 'positive': 0.090307154, 'neutral': 63.915127}"
향상,1,positive,"{'negative': 0.027728098, 'positive': 99.95808, 'neutral': 0.014195133}"
레저,2,neutral,"{'negative': 0.040109325, 'positive': 0.1613288, 'neutral': 99.79856}"
사활,1,neutral,"{'negative': 0.0599623, 'positive': 0.10583127, 'neutral': 99.834206}"
대통령,2,neutral,"{'negative': 0.101374626, 'positive': 0.023161864, 'neutral': 99.875465}"
안간힘,1,neutral,"{'negative': 5.667846, 'positive': 0.20532015, 'neutral': 94.12683}"
뉴스,2,negative,"{'negative': 83.81912, 'positive': 0.012319395, 'neutral': 16.16856}"
기념,1,neutral,"{'negative': 0.071499094, 'positive': 0.032767575, 'neutral': 99.89574}"
명품,1,neutral,"{'negative': 0.3552759, 'positive': 1.5077256, 'neutral': 98.137}"
거주,1,positive,"{'negative': 0.5371888, 'positive': 94.934135, 'neutral': 4.528673}"
사무실,1,neutral,"{'negative': 0.14849307, 'positive': 0.022552384, 'neutral': 99.82896}"
논란,5,negative,"{'negative': 99.98104, 'positive': 0.008279462, 'neutral': 0.010679409}"
국회의원,1,negative,"{'negative': 99.95963, 'positive': 0.010192227, 'neutral': 0.030175496}"
동성,1,positive,"{'negative': 0.02154514, 'positive': 99.957344, 'neutral': 0.021114463}"
논의,7,neutral,"{'negative': 0.052650455, 'positive': 0.06015941, 'neutral': 99.88719}"
명장,2,positive,"{'negative': 0.011159158, 'positive': 99.96377, 'neutral': 0.025071079}"
기술자,1,positive,"{'negative': 0.026785774, 'positive': 99.41157, 'neutral': 0.56164604}"
예상,1,negative,"{'negative': 99.98043, 'positive': 0.009412807, 'neutral': 0.010155439}"
악취,1,negative,"{'negative': 99.9568, 'positive': 0.011071615, 'neutral': 0.032127604}"
가속,1,positive,"{'negative': 0.011985563, 'positive': 99.96381, 'neutral': 0.024201935}"
기여,1,positive,"{'negative': 0.01654768, 'positive': 99.92666, 'neutral': 0.056791455}"
활짝,1,neutral,"{'negative': 0.11328562, 'positive': 0.5833989, 'neutral': 99.303314}"
도심,1,negative,"{'negative': 84.09148, 'positive': 0.039566696, 'neutral': 15.8689575}"
사회,3,neutral,"{'negative': 0.087611735, 'positive': 0.08746869, 'neutral': 99.82492}"
나우,1,neutral,"{'negative': 0.24319836, 'positive': 2.4097705, 'neutral': 97.34703}"
조달,3,neutral,"{'negative': 0.03441705, 'positive': 0.05428, 'neutral': 99.9113}"
체포,1,negative,"{'negative': 99.95996, 'positive': 0.004500145, 'neutral': 0.03553698}"
상임,2,neutral,"{'negative': 0.05946603, 'positive': 0.029704407, 'neutral': 99.91083}"
상임,2,neutral,"{'negative': 0.05946603, 'positive': 0.029704407, 'neutral': 99.91083}"
전장,1,neutral,"{'negative': 0.02781513, 'positive': 0.0653075, 'neutral': 99.906876}"
국가,3,neutral,"{'negative': 0.08130984, 'positive': 0.431878, 'neutral': 99.48681}"
낙뢰,1,negative,"{'negative': 99.90152, 'positive': 0.059889287, 'neutral': 0.03858748}"
가동,2,neutral,"{'negative': 0.17677501, 'positive': 0.6271427, 'neutral': 99.19608}"
조명,2,neutral,"{'negative': 0.037533697, 'positive': 0.030826729, 'neutral': 99.93164}"
심판,1,negative,"{'negative': 99.93541, 'positive': 0.0043708985, 'neutral': 0.060220286}"
대회,2,positive,"{'negative': 0.0435123, 'positive': 99.94983, 'neutral': 0.0066608614}"
대회,2,neutral,"{'negative': 0.035058327, 'positive': 0.024223104, 'neutral': 99.94072}"
나무,4,negative,"{'negative': 99.96877, 'positive': 0.0069301194, 'neutral': 0.024298731}"
백남준,1,neutral,"{'negative': 0.020964505, 'positive': 0.020387238, 'neutral': 99.95865}"
신안,1,neutral,"{'negative': 0.20644732, 'positive': 0.13218594, 'neutral': 99.66137}"
햇빛,2,negative,"{'negative': 85.6879, 'positive': 0.006591267, 'neutral': 14.305511}"
리조트,4,neutral,"{'negative': 0.002029986, 'positive': 0.00895988, 'neutral': 99.98901}"
교육부,1,neutral,"{'negative': 23.513618, 'positive': 1.8145121, 'neutral': 74.67187}"
참여,1,neutral,"{'negative': 0.026880503, 'positive': 0.023755759, 'neutral': 99.94936}"
번지,1,neutral,"{'negative': 0.045389794, 'positive': 0.17025135, 'neutral': 99.784355}"
분권,1,neutral,"{'negative': 0.03758612, 'positive': 0.7884022, 'neutral': 99.17401}"
물결,1,neutral,"{'negative': 0.07878805, 'positive': 2.0006254, 'neutral': 97.920586}"
극복,3,neutral,"{'negative': 0.09774657, 'positive': 0.7499576, 'neutral': 99.1523}"
연료비,1,positive,"{'negative': 0.040485844, 'positive': 99.88916, 'neutral': 0.070350625}"
설치,4,neutral,"{'negative': 0.030867135, 'positive': 0.29785332, 'neutral': 99.67128}"
설치,4,neutral,"{'negative': 0.018526187, 'positive': 0.027981553, 'neutral': 99.95349}"
갯벌,1,neutral,"{'negative': 0.16056415, 'positive': 17.95409, 'neutral': 81.885345}"
간담,1,neutral,"{'negative': 0.032716624, 'positive': 0.047792163, 'neutral': 99.919495}"
어획,2,positive,"{'negative': 0.024970641, 'positive': 99.96137, 'neutral': 0.013656391}"
추격,1,neutral,"{'negative': 0.18698639, 'positive': 0.050927036, 'neutral': 99.762085}"
한결,1,neutral,"{'negative': 0.11899206, 'positive': 0.14078937, 'neutral': 99.74022}"
전달,1,positive,"{'negative': 0.028304921, 'positive': 85.59669, 'neutral': 14.375009}"
부탁,1,neutral,"{'negative': 0.2453547, 'positive': 0.09685162, 'neutral': 99.65779}"
시행착오,1,neutral,"{'negative': 0.04514306, 'positive': 0.016932135, 'neutral': 99.93793}"
경로당,4,neutral,"{'negative': 0.17023355, 'positive': 11.713525, 'neutral': 88.11624}"
태양광,6,neutral,"{'negative': 0.055756394, 'positive': 0.6426019, 'neutral': 99.30164}"
연합뉴스,1,neutral,"{'negative': 0.02408865, 'positive': 0.017513825, 'neutral': 99.9584}"
도전,5,neutral,"{'negative': 0.08735011, 'positive': 0.05227396, 'neutral': 99.860374}"
도전,5,neutral,"{'negative': 0.0676165, 'positive': 0.2568818, 'neutral': 99.6755}"
생선회,1,negative,"{'negative': 99.97545, 'positive': 0.0078041065, 'neutral': 0.016743753}"
특별,1,neutral,"{'negative': 0.052634478, 'positive': 0.0362057, 'neutral': 99.91116}"
특혜,2,negative,"{'negative': 99.9828, 'positive': 0.006047688, 'neutral': 0.011145189}"
자치권,1,neutral,"{'negative': 0.14374268, 'positive': 0.034313906, 'neutral': 99.821945}"
발상,1,neutral,"{'negative': 0.19306062, 'positive': 3.9413764, 'neutral': 95.86556}"
어젠다,1,neutral,"{'negative': 0.098683685, 'positive': 0.030419115, 'neutral': 99.870895}"
자원,2,neutral,"{'negative': 0.08294082, 'positive': 1.7210724, 'neutral': 98.195984}"
지방정부,2,neutral,"{'negative': 0.09842555, 'positive': 4.62559, 'neutral': 95.275986}"
번영,2,positive,"{'negative': 0.021563478, 'positive': 99.86724, 'neutral': 0.11119554}"
