일시,교래태양광,종합경기장 태양광,행원태양광,홍보관주차장 태양광,수산태양광,태양광전체
2022-09-14,196,203.808,256.896,0,0,656.704
2022-09-15,206.2,239.392,232.128,0,0,677.72
2022-09-16,1212.8,1562.304,557.424,31.68,0,3364.208
2022-09-17,1322.2,1394.912,533.232,261.32,0,3511.664
2022-09-18,2156.8,1760.672,714.528,360.56,0,4992.56
2022-09-19,2163.4,1393.152,935.712,417.52,0,4909.784
2022-09-20,768,1439.712,671.184,325.16,0,3204.056
2022-09-21,1703.6,1572.32,675.36,333.8,0,4285.08
2022-09-22,1385,1500.32,571.176,274.24,0,3730.736
2022-09-23,2271.2,1586.528,770.112,364.2,0,4992.04
2022-09-24,2583.4,1937.472,849.312,425.52,0,5795.704
2022-09-25,1466,1242.944,492.912,258.6,0,3460.456
2022-09-26,2100.4,1489.536,702.576,328.72,0,4621.232
2022-09-27,2573,2036.512,837.432,403,0,5849.944
2022-09-28,1004,893.632,382.032,216.64,0,2496.304
2022-09-29,2194.2,1543.04,740.592,334.52,0,4812.352
2022-09-30,2707.8,2187.968,912.384,448.72,0,6256.872
2022-10-01,2610.4,2120.16,878.256,437.92,0,6046.736
2022-10-02,1418.6,2003.84,758.232,348.72,0,4529.392
2022-10-03,2189,1924.832,768.384,366.52,0,5248.736
2022-10-04,723.6,381.632,143.928,95.4,0,1344.56
2022-10-05,2218.4,1764.384,723.816,372.24,0,5078.84
2022-10-06,1178.2,815.296,379.8,213.52,0,2586.816
2022-10-07,1677.4,1296.512,559.584,288.12,0,3821.616
2022-10-08,320,430.496,336.24,146.2,0,1232.936
2022-10-09,460.2,481.632,140.04,89.96,0,1171.832
2022-10-10,1465.4,1047.68,410.976,219.52,0,3143.576
2022-10-11,2466.6,1498.688,756.864,391.24,0,5113.392
2022-10-12,2425.8,2019.648,801.792,425.12,0,5672.36
2022-10-13,1272.4,795.36,643.104,308.72,0,3019.584
2022-10-14,1350.2,1519.68,843.624,347.92,0,4061.424
2022-10-15,2260.2,1781.824,587.736,415.72,0,5045.48
2022-10-16,1090.6,1268.288,555.336,245.64,0,3159.864
2022-10-17,1999.8,1752.96,446.4,295.48,0,4494.64
2022-10-18,2822,1888.8,673.128,436.24,0,5820.168
2022-10-19,2851.2,2047.616,514.08,349.96,0,5762.856
2022-10-20,2661.4,2042.272,531.936,395,0,5630.608
2022-10-21,1078.6,1426.176,672.696,308.32,0,3485.792
2022-10-22,1408,967.712,492.192,217.76,0,3085.664
2022-10-23,2546.6,1498.272,442.08,335.88,0,4822.832
2022-10-24,2585.6,1755.04,781.416,370.36,0,5492.416
2022-10-25,1958.8,1620.032,812.016,383.6,0,4774.448
2022-10-26,1422.8,1642.464,784.944,359.88,0,4210.088
2022-10-27,1284.6,1050.368,404.856,200.76,0,2940.584
